train_times,steps,reward,Q loss,update_QNet_times,G loss,update_G_times,D loss,update_D_times,W_D
140,758.8,-0.006084206565187659,941.4355541890463,11,-10.847114248805577,32,-0.013594773398893523,17,0.07167630094952057
145,758.8,-0.00415447866527917,940.9526043395997,11,-10.86861324681176,33,-0.06490295703217606,17,0.12056327740351365
150,758.8,-0.009930903924998022,939.8663213602701,11,-10.879054715898302,34,-0.21474079467175128,18,0.27043165249294704
155,711.2,0.008833271007659198,934.5255739034016,12,-10.872156723340353,36,-0.09651617660249286,19,0.15003117137485084
160,752.4,-0.007200561208820085,833.6279176544191,13,-10.529715427716573,36,-0.4505513472030147,20,0.5142821741527982
165,732.9,0.0025981497550641,927.2396035980224,14,-10.818316047350566,38,0.023711004151776315,21,0.02623135925928758
170,689.0,0.01648451902370855,874.0553521331785,15,-10.691593736789844,38,-0.2189648863072474,22,0.2718579427118655
175,689.0,0.01401169651937439,785.2103790863036,16,-10.409601858916107,38,-0.7364094866600579,23,0.7950147581347714
180,689.0,0.0169139326727934,792.4642689788818,16,-10.424301852049652,39,-0.7358774844920746,23,0.7930068580026981
185,659.0,0.02737040497981625,794.5871144175211,17,-10.416360226136668,41,-0.7136103547309075,24,0.7660315011059796
190,609.4,0.046187465635901946,714.8669654539564,18,-10.213277639439498,41,-0.9042269713241676,25,0.960531865243054
195,609.4,0.048745446127004315,617.8335201033093,19,-9.850277240697668,41,-1.1512851356160791,26,1.2226294021248187
200,609.4,0.05130250681043376,617.9668153710502,19,-9.847714974771732,42,-1.0728838869613146,26,1.1435740485362906
205,623.2,0.041954919134527875,624.7237588524955,20,-9.86740962520983,44,-1.123986045657188,27,1.2024351467198167
210,623.2,0.04344138666585629,638.0499318222045,21,-9.986264630383285,44,-1.0303536674386167,28,1.1023790319054214
215,642.7,0.03637435864389506,632.1265115748087,21,-9.990689966373342,45,-1.1949551479420797,28,1.2668068953973275
220,686.6,0.020132813231514078,690.0899458806355,21,-10.131631458206781,46,-1.0354924907741239,28,1.1024681752522787
225,660.9,0.03111291643399714,786.68432304128,22,-10.433398067080784,48,-0.4797295580864366,29,0.5482440369923909
230,660.9,0.028344660141401606,722.8475057169595,23,-10.291136504998283,48,-0.8547717638040581,30,0.9276314046117993
235,690.9,0.0145640911014606,715.7015914713542,23,-10.293774797840724,49,-0.8189498895989834,30,0.8976399759716458
240,740.5,-0.0032088209724038955,795.3821003592354,23,-10.501913570260246,50,-0.4000802319955806,30,0.47678976043822274
245,740.5,-0.004963304379465764,891.6142627712431,23,-10.852803703376226,51,-0.09594140282640645,30,0.15749782001404536
250,740.5,-0.005575804120069654,892.4636096950711,23,-10.857970040071578,52,-0.03817036558454854,30,0.09916880952744256
255,774.3,-0.016182686705869847,890.4891174465362,23,-10.864331599303656,53,0.012646679791570215,30,0.044947804723467086
260,762.0,-0.015042778331941559,981.6617630589802,24,-11.11094037135442,55,0.37565097528308017,31,-0.3157806117799547
265,738.8,-0.008413285945921948,948.8339573582967,25,-11.04217042239507,55,0.43675931036754845,32,-0.36690688887702094
270,738.8,-0.008236120641500507,884.4976487391152,26,-10.898041657659743,55,0.1887114914452141,33,-0.11386159374448983
275,764.5,-0.017100689086224072,881.25669740448,26,-10.911863306681315,56,0.11051918020444,33,-0.04585234723620948
280,764.5,-0.017772823285610598,954.8687436920166,26,-11.088584205892351,57,0.4516734981016672,33,-0.3887394217067294
285,764.5,-0.020893279551334593,959.6705209747315,26,-11.103481410927243,58,0.3883481409677823,33,-0.3286577013545567
290,742.8,-0.014329303652604259,961.2843926788328,27,-11.107190851688385,60,0.4620834738730325,34,-0.4029052997907002
295,695.2,0.0026595111520179003,899.2675906497531,28,-10.965989437156253,60,0.21932168897319065,35,-0.1549836930910747
300,672.6,0.009961566119147496,802.6242170820448,29,-10.631689274628958,60,-0.230982115667778,36,0.30643958869510224
305,672.6,0.015422337347268167,738.9302945051405,30,-10.478220860216352,60,-0.46990305734430854,37,0.5495930212762621
310,671.8,0.02079396439348955,735.2715522972954,31,-10.477363621446823,62,-0.6799851184649279,39,0.7529868120511373
315,695.0,0.0150329542692328,737.70644742669,32,-10.490394888612958,63,-0.8931930509649725,40,0.9616088517824808
320,695.0,0.011827242574698091,804.7097509189181,32,-10.655451942443847,64,-0.7899158557205659,41,0.8554723689609103
325,675.0,0.01549075914027867,815.6136470167372,33,-10.676901754697164,66,-0.7009629191535101,42,0.7767528951221042
330,662.1,0.026032551942814702,751.8680678066677,34,-10.534324400230691,66,-0.8266726659936096,42,0.9017775150193106
335,650.0,0.03712825655493421,714.9008953904894,35,-10.458218435252153,67,-1.1681147498937001,43,1.2454519538985358
340,671.7,0.029985479788797814,674.4641391567654,35,-10.385371472747236,68,-1.4963564341144289,44,1.57953955734041
345,719.3,0.012569935735730679,739.0756799350314,35,-10.545637322708412,69,-1.2509981030820556,44,1.3351033684306672
350,715.5,0.02136198801192772,835.3569796705457,36,-10.90674920629572,71,-0.7846272569777648,45,0.8712495172606575
355,715.5,0.01782017864200864,830.7973019514296,37,-10.896889281979316,71,-1.018783335815577,46,1.1064073109414843
360,728.6,0.008128567227862092,830.7849353539361,37,-10.897942155378837,72,-0.8177131681229918,46,0.9065689335187276
365,698.0,0.014224191300645473,875.6109040103489,38,-10.993996454627426,74,-0.5455184607396937,47,0.6342409190177918
370,672.0,0.032491334568908736,792.0052106015645,39,-10.773822891654161,74,-0.6819277873307347,48,0.7778764390143138
375,692.0,0.03114690496783713,710.5338284070455,40,-10.588830648735087,74,-1.2212973782224668,49,1.319094740787385
380,704.9,0.022236764139557445,774.1703511595954,40,-10.75005727188171,75,-1.178027005945134,49,1.2756630868109444
385,670.5,0.03157998788344936,819.824245153736,41,-10.86203341752007,77,-0.7742321064145082,50,0.8806651917502994
390,670.5,0.03101587931299251,760.1729670958746,42,-10.613330850101653,77,-0.850011465992601,51,0.9663731420880272
395,670.5,0.03245925978306821,760.6085804788497,42,-10.626217978295827,78,-0.8101236945566914,51,0.9322724087548633
400,653.3,0.033072434376584255,764.5331075377692,43,-10.62993354111626,80,-0.8718104229025425,52,0.9918233752296086
405,653.3,0.03255097013110462,740.9027445159186,44,-10.498184521493458,80,-0.8651423139425496,53,0.99139523977098
410,653.3,0.03308942151138573,742.6390489999679,44,-10.506924711363656,81,-0.8796255795426136,53,1.0099940726431589
415,683.9,0.022621279645127744,741.5692642913092,44,-10.510889001982552,82,-0.87712719650197,53,1.0153529157577998
420,655.4,0.029532261336547082,825.449532447815,45,-10.73209500535329,84,-0.49643875450289093,54,0.628381310865614
425,655.4,0.02764945785326835,799.2810080362956,46,-10.518607549773321,84,-0.4220997701260365,55,0.5687920170678034
430,613.8,0.047897246138842685,797.3224738972982,47,-10.507256316184996,86,-0.3957384666647349,56,0.5414844826380413
435,604.8,0.04641890333750938,699.0341191965739,48,-10.201643191549513,86,-0.9061116989817884,57,1.0497759223832026
440,604.8,0.042769692953263126,697.5837433827718,49,-10.137904346783955,86,-0.7300098795725241,58,0.9076276427268983
445,593.9,0.04354793559797665,700.6541703440349,49,-10.139461516804165,87,-0.6811413094783202,58,0.8511537353091772
450,637.5,0.027551711126592392,667.5157806955974,49,-10.07550939718882,88,-0.7779904881016455,58,0.9432794311311511
455,637.5,0.028769702280378413,770.1701912994386,49,-10.412340304586621,89,-0.4116670279722455,58,0.5645636915206909
460,595.8,0.04163953172062091,769.1050913035076,50,-10.409407816992864,91,-0.4502406603940453,59,0.5969751730600994
465,581.1,0.04918690246168661,667.3103102183024,51,-10.086616244210138,91,-0.8306157904960838,60,0.9758003440750969
470,635.6,0.029347135609395662,622.3539128590902,51,-10.003394977781507,92,-1.1189686970060693,61,1.2661975844595168
475,625.3,0.03273673062226297,728.3094634877523,51,-10.40825476858351,93,-0.8336747421021885,61,0.9550250638220044
480,666.2,0.011927070788261947,699.8423011423747,51,-10.3532551984787,94,-0.8021433193899898,61,0.9285990659183927
485,721.7,-0.004653811893521331,795.0431528930663,51,-10.64485093561808,95,-0.3311527371695266,61,0.44929430540932547
490,721.7,-0.0003769281420874293,894.8721202087402,51,-11.041685375319588,96,-0.010067905660201349,61,0.08934240535100316
495,732.6,0.0024612475943274537,891.1594655253091,52,-11.034762533717686,98,-0.13386419933413468,62,0.21019037912156852
500,732.6,0.0005883423691042826,928.3845535786946,52,-11.090319660716586,99,-0.13222032452941773,63,0.20264161143832743
505,732.6,0.0004795090896294148,921.2350550842286,52,-11.055775292926366,100,-0.03355918500818731,63,0.10890779878828256
510,719.8,0.006603376731768891,920.0583321024576,53,-11.044971059905158,102,-0.027844130922812627,64,0.10338013841840965
515,718.9,0.004437695927728846,916.2795624572755,54,-10.961445956018236,102,0.1074255189669215,65,-0.016757907973395447
520,718.9,0.00741922620946296,912.19432946167,55,-10.941797594812183,102,0.23430423075925147,66,-0.14381958209143747
525,692.9,0.013067309893444807,906.83054430542,56,-10.918951871448094,104,0.33843220779850247,67,-0.2434504743152195
530,693.6,0.013868790645884402,845.1397383789063,57,-10.715539518568253,104,0.04622987076561484,68,0.04866708804236515
535,693.6,0.014982927239825116,843.4169569458006,57,-10.695378515031603,105,0.06341962049843533,68,0.035460629738701635
540,693.6,0.015366907248014056,849.7889030924478,57,-10.697957765897117,106,-0.18444764497789243,69,0.27172222175598143
545,688.4,0.01606792721144604,852.9856234293618,58,-10.701539162635806,108,-0.2291815163445141,70,0.31704033264584003
550,688.4,0.02013428848716473,834.303796484375,58,-10.675381312428101,109,-0.279357858779827,71,0.3708508454004923
555,688.4,0.021616897704645435,839.4476984619141,58,-10.6981302330807,110,-0.39714053964799817,71,0.48515620725419784
560,742.9,0.0030817000572152487,840.983979650879,58,-10.717379986502909,111,-0.4583224159413817,71,0.5505363791359794
565,730.1,0.015628501238300202,940.1950820780436,59,-11.09941988420968,113,-0.1932111171915375,72,0.260797864765591
570,730.1,0.00987566303091261,910.9370664621989,60,-11.007425296788265,113,-0.46968798393996974,73,0.5400288546350267
575,766.4,-0.0009564982776233667,915.348817682902,60,-11.014077905235869,114,-0.38165070091759923,73,0.4522588505744933
580,750.4,0.003974346802331251,1006.7326414438883,61,-11.269059731912131,116,-0.019683475091564272,74,0.08698137362798049
585,747.2,0.006073774272137926,958.5615789642334,62,-11.17679062250407,116,-0.22815655386821193,75,0.29954743159612013
590,747.2,0.006716510514290193,940.7229667205811,62,-11.144300019904822,117,-0.11910255340942832,75,0.19554978833728362
595,723.1,0.015110436618232243,946.4480394337972,63,-11.163715677160205,119,-0.19541698359574636,77,0.272449808830685
600,699.3,0.021091498543646454,880.1260683208648,64,-10.993019717102959,119,-0.4691765496305293,78,0.5549703188230121
605,699.3,0.023503625700433677,812.0975401073638,65,-10.842807192106097,119,-0.6425564929098718,79,0.7336368470479571
610,699.3,0.024135455721307632,814.4694068676177,65,-10.850658518836614,120,-0.7039742877734617,79,0.7937005370215763
615,708.2,0.011034672876436773,818.2453238801503,66,-10.875233532950991,122,-0.7015918774368656,80,0.7879895062734209
620,708.2,0.013545367809266523,833.9026216588096,67,-10.939378456108154,122,-0.4328953943526924,81,0.5165331126253441
625,708.2,0.014096774614369655,836.1069649815636,67,-10.956745049257126,123,-0.6100052050349131,81,0.690411620663335
